,idkey,currency,ADFstatistic,pvalue,CriticalValue 1%,CriticalValue 5%,CriticalValue 10%
0,0,Bitcoin,-0.5596974068939435,0.8798312281158734,-3.449559661646851,-2.8700035112469626,-2.5712790073013796
1,1,Ethereum,-1.1655884431159287,0.6882208337673335,-3.4489583388155194,-2.869739378430086,-2.5711381780459
2,2,XRP,-0.5992027964212926,0.8711620604874635,-3.4496162602188187,-2.870028369720798,-2.5712922615505627
3,3,Litecoin,-1.9079242167245136,0.32834254097950155,-3.449336554273722,-2.8699055166063085,-2.571226758215748
4,4,Bitcoin Cash,-0.8257244777548186,0.8114486759503254,-3.4489583388155194,-2.869739378430086,-2.5711381780459
5,5,EOS,-0.5742149747577195,0.8767025942816382,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
6,6,Stellar Lumens,-1.2722312918592287,0.6417788673701109,-3.449336554273722,-2.8699055166063085,-2.571226758215748
7,7,Chainlink,-2.1724979309027974,0.21637808035818923,-3.449226932880019,-2.869857365438656,-2.571201085130664
8,8,Ethereum Classic,-1.6190385639736495,0.47323337799670495,-3.449673193310592,-2.8700533746644323,-2.5713055939491403
9,9,Zcash,-1.2729795690851666,0.6414417699299284,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
10,10,Basic Attention Token,-1.1452439674337687,0.6966962259788265,-3.4495033946549123,-2.8699787979596136,-2.5712658305164955
11,11,USD Coin,-0.3508732041149218,0.9179837339674694,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
12,12,0x,-1.8079428542542386,0.37652547837706807,-3.448853029339765,-2.869693115704379,-2.571113512498422
13,13,Augur,-0.17996511892481676,0.9408679674060957,-3.448853029339765,-2.869693115704379,-2.571113512498422
14,14,Dai,-2.8306128937226904,0.054032236270615326,-3.449673193310592,-2.8700533746644323,-2.5713055939491403
15,15,Bitcoin SV,-2.2060839904379224,0.2040447344028024,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
16,16,Binance Coin,-1.939233464115355,0.31383538653638526,-3.4542672521624214,-2.87206958769775,-2.5723807881747534
17,17,Tether,0.3512097337957952,0.979575755374446,-3.4540076534999957,-2.8719557347997178,-2.5723200648758366
18,18,TRON,-0.8453699192132916,0.8054305186591647,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
19,19,Cardano,-1.5384947193156493,0.5143899487470848,-3.4537536300652,-2.8718443180148836,-2.572260641818822
20,20,UNUS SED LEO,-1.713928690734885,0.42395066197956954,-3.453922368485787,-2.871918329081633,-2.5723001147959184
21,21,Monero,-0.9723381091861126,0.7632191880516508,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
22,22,Dash,-0.39950138689261255,0.9101819946183034,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
23,23,NEO,-0.7184911530484237,0.8419015990994161,-3.453922368485787,-2.871918329081633,-2.5723001147959184
24,24,IOTA,-0.2892265802105055,0.9270163720819489,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
25,25,Cosmos,-1.4298977221360052,0.567861843877598,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
26,26,NEM,-2.5002136854810337,0.11542234143091801,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
27,27,Tezos,-2.080331195075289,0.2524967159641982,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
28,28,Ontology,-1.1512364398065158,0.6942132587709441,-3.453922368485787,-2.871918329081633,-2.5723001147959184
29,29,Maker,-2.0118427807235832,0.2814047153780167,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
30,30,Crypto.com Chain,-1.319214936009046,0.6203362546592741,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
31,31,Bitcoin Gold,-1.45136392633033,0.5574192359615989,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
32,32,Qtum,-1.163798276118724,0.6889717823924764,-3.4540935579190495,-2.8719934111688965,-2.5723401594120388
33,33,VeChain,-1.1989747481712616,0.6740365938038737,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
34,34,Dogecoin,-1.2990291328716648,0.6296163694362865,-3.4537536300652,-2.8718443180148836,-2.572260641818822
35,35,OmiseGO,-0.2762703542526643,0.9287985694119909,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
36,36,V Systems,-0.046827412414125,0.954483870982235,-3.453922368485787,-2.871918329081633,-2.5723001147959184
37,37,Decred,-1.097038397410029,0.7162515117828758,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
38,38,BitTorrent Token,-3.912833468382983,0.0019424038216306397,-3.4534232986669546,-2.8716994185534745,-2.5721833625116144
39,39,Holo,-3.8454745190946067,0.0024748564556368747,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
40,40,TrueUSD,-5.322162625181737,4.925565811389323e-06,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
41,41,Egretia,-1.5181999304338754,0.5244896532227106,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
42,42,Hshare,-1.7431104068709498,0.40904864658932444,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
43,43,HedgeTrade,-1.435091037397741,0.5653422743525811,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
44,44,Bitcoin Diamond,-1.263116109871806,0.6458733565791906,-3.4534232986669546,-2.8716994185534745,-2.5721833625116144
45,45,Ravencoin,-0.9144678732058216,0.7831706090398829,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
46,46,Pundi X,-1.7685080103346886,0.39620483112648996,-3.4540076534999957,-2.8719557347997178,-2.5723200648758366
