,idkey,currency,ADFstatistic,pvalue,CriticalValue 1%,CriticalValue 5%,CriticalValue 10%
0,0,Bitcoin,-1.5960954151641202,0.485554598707557,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
1,1,Ethereum,-1.8754223711462163,0.3437100494143098,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
2,2,XRP,-1.679231052408373,0.44184377537732145,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
3,3,Litecoin,-2.1327836270284517,0.231538051952615,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
4,4,Bitcoin Cash,-2.110471456142536,0.24032487705243555,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
5,5,EOS,-2.1969797528127684,0.2073434580335422,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
6,6,Stellar Lumens,-1.2438648883235741,0.6544474178913293,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
7,7,Chainlink,-3.6697860121806336,0.004558780272211016,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
8,8,Ethereum Classic,-2.2278611308185985,0.19628929299522513,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
9,9,Zcash,-1.5670317118618187,0.5001301634027209,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
10,10,Basic Attention Token,-2.32181788934142,0.16502778530951145,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
11,11,USD Coin,-1.0894126959228911,0.7192754793784701,-3.451281394993741,-2.8707595072926293,-2.571682118921643
12,12,0x,-2.042817177373667,0.26812037013207457,-3.4513486122290717,-2.870789013306053,-2.5716978530569192
13,13,Augur,-0.8371416859969399,0.807967842501537,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675
14,14,Dai,-1.8432304259909493,0.3592198714682515,-3.451552879535732,-2.8708786756338407,-2.571745666091128
15,15,Bitcoin SV,-1.875070848614371,0.3438778964315965,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
16,16,Binance Coin,-1.6780139628327395,0.4424744542699535,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
17,17,Tether,-3.8924104727558033,0.0020914172786089765,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
18,18,TRON,-1.4110524376750961,0.5769661211615367,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
19,19,Cardano,-0.7832065569956747,0.8240053128001565,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
20,20,UNUS SED LEO,-1.7076413383155986,0.42717979232839126,-3.450141065277327,-2.870258846235788,-2.571415151457764
21,21,Monero,-1.4843459472067257,0.5412404742778876,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
22,22,Dash,-1.329973453861328,0.615350331007313,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
23,23,NEO,-2.0843613211533922,0.25084931023882173,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
24,24,IOTA,-2.2892871688571,0.17544635465078373,-3.450141065277327,-2.870258846235788,-2.571415151457764
25,25,Cosmos,-1.5416886264075207,0.5127971067993037,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
26,26,NEM,-1.667027909598847,0.44817571127236683,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
27,27,Tezos,-0.5930639365816368,0.87254160324114,-3.4503224123605194,-2.870338478726661,-2.571457612488522
