,idkey,currency,ADFstatistic,pvalue,CriticalValue 1%,CriticalValue 5%,CriticalValue 10%
0,0,Bitcoin,-1.5840126851418022,0.491619311566472,-3.449226932880019,-2.869857365438656,-2.571201085130664
1,1,Ethereum,-1.5182626245785935,0.5244585147552009,-3.44911857009962,-2.8698097654570507,-2.5711757061225153
2,2,XRP,-1.9547969105137553,0.3067377621227976,-3.449226932880019,-2.869857365438656,-2.571201085130664
3,3,Litecoin,-1.7165256208329591,0.4226187222113039,-3.449226932880019,-2.869857365438656,-2.571201085130664
4,4,Bitcoin Cash,-1.8022781452993053,0.3793312457264525,-3.4490648539347544,-2.8697861692116478,-2.5711631253228306
5,5,EOS,-1.7733715316434258,0.3937598074069923,-3.449226932880019,-2.869857365438656,-2.571201085130664
6,6,Stellar Lumens,-1.298651646520241,0.6297889610409872,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
7,7,Chainlink,-2.7514594241876162,0.06554892362877819,-3.4490114443793214,-2.8697627072503757,-2.5711506161673716
8,8,Ethereum Classic,-1.707291742527976,0.42735952193367055,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
9,9,Zcash,-1.3383182166273586,0.6114645467316493,-3.449226932880019,-2.869857365438656,-2.571201085130664
10,10,Basic Attention Token,-2.555025993393845,0.10265322065385174,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
11,11,USD Coin,,,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
12,12,0x,-3.28691570765384,0.015473569951372015,-3.4490648539347544,-2.8697861692116478,-2.5711631253228306
13,13,Augur,-1.526794653579752,0.5202172340890693,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
14,14,Dai,-2.2930538688633986,0.17421802476330556,-3.449226932880019,-2.869857365438656,-2.571201085130664
15,15,Bitcoin SV,-1.5857066968166436,0.4907694311496194,-3.4534232986669546,-2.8716994185534745,-2.5721833625116144
16,16,Binance Coin,-2.2607563114906566,0.18493726692269152,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
17,17,Tether,-1.0357231164101663,0.7400132231126648,-3.4541800885158525,-2.872031361137725,-2.5723603999791473
18,18,TRON,-1.9163104560706605,0.32442748715902797,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
19,19,Cardano,-1.6003027183353062,0.4834414019018921,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
20,20,UNUS SED LEO,-1.2193958774490021,0.6651969423781343,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
21,21,Monero,-1.4108308218836032,0.5770728130488276,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
22,22,Dash,-3.304502641659957,0.014678402071968528,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
23,23,NEO,-1.3400255626405542,0.6106675558167798,-3.4537536300652,-2.8718443180148836,-2.572260641818822
24,24,IOTA,-2.1287663962969696,0.23310588707133806,-3.4537536300652,-2.8718443180148836,-2.572260641818822
25,25,Cosmos,-1.3502206765942808,0.6058948795330726,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
26,26,Tezos,-0.8047863141840745,0.8177120793491531,-3.4537536300652,-2.8718443180148836,-2.572260641818822
27,27,NEM,-1.7803318396723806,0.39026917740661926,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
28,28,Ontology,-1.7983454817227786,0.3812834248589483,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
29,29,Maker,-1.8822507944956535,0.34045640858685877,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
30,30,Crypto.com Chain,-1.9666375020181084,0.3013901855755694,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
31,31,Qtum,-2.202084839929562,0.2054896506018411,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
32,32,Bitcoin Gold,-1.2108532708981516,0.6689095698198688,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
33,33,Dogecoin,-0.7318946892097153,0.8383142434327839,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
34,34,VeChain,-1.1595290549018848,0.6907586484718782,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
35,35,OmiseGO,-2.795541879264179,0.05891340610193052,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
36,36,V Systems,-1.1543211354350604,0.6929307212265585,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
37,37,Decred,-1.6627078354576044,0.45042163562830284,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
38,38,BitTorrent Token,-2.1047587606147973,0.2426053905540057,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
39,39,Holo,-1.3043017677120659,0.6272019588304873,-3.453922368485787,-2.871918329081633,-2.5723001147959184
40,40,Egretia,-2.8540320922963347,0.05096051931007742,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
41,41,Hshare,-1.729540400840265,0.4159602195401904,-3.453670163592738,-2.8718077069772248,-2.5722411158835796
42,42,TrueUSD,-4.720426505185658,7.702366102393382e-05,-3.4537536300652,-2.8718443180148836,-2.572260641818822
43,43,Bitcoin Diamond,-1.867343104365484,0.34757639004094454,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
44,44,HedgeTrade,-2.376117142742567,0.1485909292345181,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
45,45,Waves,-1.2534056572126904,0.6502107815051371,-3.4548957220044336,-2.8723451788613157,-2.572527778361272
46,46,Lisk,-2.196725183669304,0.20743617262232272,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
47,47,Komodo,-1.756199789986931,0.40241369700506546,-3.4538376962008495,-2.8718811911083093,-2.5722803076202174
48,48,Ravencoin,-1.756456229694909,0.40228403320409145,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
49,49,Huobi Token,-1.9982520995837258,0.2873400181041978,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
50,50,Aurora,-12.36817153206974,5.355435667944556e-23,-3.4535050041524245,-2.8717352599720294,-2.5722024776854417
51,51,Pundi X,-2.9257658000593354,0.042432781217516584,-3.453922368485787,-2.871918329081633,-2.5723001147959184
52,52,Bytom,-1.2820455146715475,0.6373459616422587,-3.4535872903895797,-2.871771355211212,-2.5722217283277127
